Component,Property,Variant,State,"Token ""Nickname""",Dark Value,Dark Opacity,Light Value,Light Opacity,Implemented on iOS,Implemented on Android,Implemented on the Component Library
Primitive,Background,Level 0,Default,backgroundLevel0,NightSky/975,100%,White,100%,No,No,Yes
Primitive,Background,Level 1,Default,backgroundLevel1,NightSky/950,100%,Gray/50,100%,No,No,Yes
Primitive,Background,Level 2,Default,backgroundLevel2,NightSky/900,100%,Gray/100,100%,No,No,Yes
Primitive,Background,Level 3,Default,backgroundLevel3,Primary/850,100%,Gray/200,100%,No,No,Yes
Primitive,Text Tone,Heading,Default,textToneHeading,Gray/100,100%,Gray/900,100%,No,No,Yes
Primitive,Text Tone,Body,Default,textToneBody,Gray/300,100%,Gray/700,100%,No,No,Yes
Primitive,Text Tone,Subtle,Default,textToneSubtle,Gray/450,100%,Gray/500,100%,No,No,Yes
Primitive,Text Tone,Muted,Default,textToneMuted,Gray/600,100%,Gray/300,100%,No,No,Yes
Link,Text,Default,Default,linkText,Primary/500,100%,Primary/600,100%,No,No,Yes
Link,Text,Default,Hover,linkTextHover,Primary/400,100%,Primary/700,100%,No,No,Yes
Button,Background,Primary,Default,buttonPrimaryBackground,Primary/600,100%,Primary/600,100%,No,No,Yes
Button,Text,Primary,Default,buttonPrimaryText,White,100%,White,100%,No,No,Yes
Button,Background,Primary,Hover,buttonPrimaryBackgroundHover,Primary/500,100%,Primary/700,100%,No,No,Yes
Button,Background,Secondary,Default,buttonSecondaryBackground,NightSky/750,100%,Primary/100,100%,No,No,Yes
Button,Text,Secondary,Default,buttonSecondaryText,White,100%,Primary/600,100%,No,No,Yes
Button,Background,Secondary,Hover,buttonSecondaryBackgroundHover,Primary/700,100%,Primary/200,100%,No,No,Yes
Button,Text,Secondary,Hover,buttonSecondaryTextHover,White,100%,Primary/700,100%,No,No,Yes
Button,Background,Tertiary,Default,buttonTertiaryBackground,Transparent,100%,Transparent,100%,No,No,Yes
Button,Border,Tertiary,Default,buttonTertiaryBorder,NightSky/400,100%,Primary/600,100%,No,No,Yes
Button,Text,Tertiary,Default,buttonTertiaryText,NightSky/400,100%,Primary/600,100%,No,No,Yes
Button,Background,Tertiary,Hover,buttonTertiaryBackgroundHover,NightSky/900,100%,Gray/100,100%,No,No,Yes
Button,Border,Tertiary,Hover,buttonTertiaryBorderHover,NightSky/300,100%,Primary/700,100%,No,No,Yes
Button,Text,Tertiary,Hover,buttonTertiaryTextHover,NightSky/300,100%,Primary/700,100%,No,No,Yes
Button,Background,Destructive,Default,buttonDestructiveBackground,Red/900,100%,Red/100,100%,No,No,Yes
Button,Text,Destructive,Default,buttonDestructiveText,Red/100,100%,Red/700,100%,No,No,Yes
Button,Background,Destructive,Hover,buttonDestructiveBackgroundHover,Red/800,100%,Red/200,100%,No,No,Yes
Button,Text,Destructive,Hover,buttonDestructiveTextHover,White,100%,Red/800,100%,No,No,Yes
Button,Background,Warning,Default,buttonWarningBackground,Yellow/700,100%,Yellow/100,100%,No,No,Yes
Button,Text,Warning,Default,buttonWarningText,Yellow/100,100%,Yellow/500,100%,No,No,Yes
Button,Background,Warning,Hover,buttonWarningBackgroundHover,Yellow/600,100%,Yellow/200,100%,No,No,Yes
Button,Text,Warning,Hover,buttonWarningTextHover,White,100%,Yellow/600,100%,No,No,Yes
Button,Background,Pending,Default,buttonPendingBackground,Yellow/500,100%,Yellow/500,100%,No,No,Yes
Button,Text,Pending,Default,buttonPendingText,White,100%,White,100%,No,No,Yes
Button,Background,Pending,Hover,buttonPendingBackgroundHover,Yellow/400,100%,Yellow/400,100%,No,No,Yes
Button,Text,Pending,Hover,buttonPendingTextHover,White,100%,White,100%,No,No,Yes
Button,Background,SoundGreen,Default,buttonSoundGreenBackground,MediumEmerald,100%,SoundGreen,100%,No,No,Yes
Button,Text,SoundGreen,Default,buttonSoundGreenText,White,100%,White,100%,No,No,Yes
Button,Background,SoundGreen,Hover,buttonSoundGreenBackgroundHover,SoundGreen,100%,MediumEmerald,100%,No,No,Yes
Button,Text,SoundGreen,Hover,buttonSoundGreenTextHover,White,100%,White,100%,No,No,Yes
Button,Background,DarkPrimary,Default,buttonDarkPrimaryBackground,White,100%,White,100%,No,No,Yes
Button,Text,DarkPrimary,Default,buttonDarkPrimaryText,Gray/700,100%,Gray/700,100%,No,No,Yes
Button,Background,DarkPrimary,Hover,buttonDarkPrimaryBackgroundHover,Gray/300,100%,Gray/300,100%,No,No,Yes
Button,Text,DarkPrimary,Hover,buttonDarkPrimaryTextHover,Gray/900,100%,Gray/900,100%,No,No,Yes
Button,Background,DarkSecondary,Default,buttonDarkSecondaryBackground,Transparent,100%,Transparent,100%,No,No,Yes
Button,Border,DarkSecondary,Default,buttonDarkSecondaryBorder,White,100%,White,100%,No,No,Yes
Button,Text,DarkSecondary,Default,buttonDarkSecondaryText,White,100%,White,100%,No,No,Yes
Button,Background,DarkSecondary,Hover,buttonDarkSecondaryBackgroundHover,White,25%,White,25%,No,No,Yes
Button,Border,DarkSecondary,Hover,buttonDarkSecondaryBorderHover,White,100%,White,100%,No,No,Yes
Button,Text,DarkSecondary,Hover,buttonDarkSecondaryTextHover,White,100%,White,100%,No,No,Yes
Button,Background,Default,Disabled,buttonDisabledBackground,NightSky/850,100%,Gray/100,100%,No,No,Yes
Button,Text,Default,Disabled,buttonDisabledText,NightSky/500,100%,Gray/400,100%,No,No,Yes
Card,Background,Background,Default,cardBackground,NightSky/950,100%,White,100%,No,No,Yes
Card,Border,Default,Default,cardBorder,NightSky/850,100%,Gray/300,100%,No,No,Yes
Card,Text,Default,Default,cardText,Gray/200,100%,Gray/800,100%,No,No,Yes
CardHeader,Background,Solid,Default,cardHeaderSolidBackground,NightSky/950,100%,Gray/50,100%,No,No,Yes
CardHeader,Border,Solid,Default,cardHeaderSolidBorder,NightSky/850,100%,Gray/300,100%,No,No,Yes
CardFooter,Background,Solid,Default,cardFooterSolidBackground,Gray/200,100%,Gray/800,100%,No,No,Yes
CardFooter,Border,Solid,Default,cardFooterSolidBorder,NightSky/850,100%,Gray/300,100%,No,No,Yes
Skeleton,Background,Default,Default,skeletonBackground,NightSky/800,100%,Gray/200,100%,No,No,Yes
DropdownTrigger,Background,Default,Default,dropdownTriggerBackground,NightSky/950,100%,White,100%,No,No,Yes
DropdownTrigger,Border,Default,Default,dropdownTriggerBorder,NightSky/700,100%,Gray/300,100%,No,No,Yes
DropdownTrigger,Text,Default,Default,dropdownTriggerText,Gray/400,100%,Gray/600,100%,No,No,Yes
DropdownLabel,Text,Default,Default,dropdownLabelText,Gray/400,100%,Gray/600,100%,No,No,Yes
DropdownHint,Text,Default,Default,dropdownHintText,Gray/500,100%,Gray/500,100%,No,No,Yes
DropdownItemContainer,Background,Default,Default,dropdownItemContainerBackground,NightSky/950,100%,White,100%,No,No,Yes
DropdownItemContainer,Divide,Default,Default,dropdownItemContainerDivide,NightSky/800,100%,Gray/200,100%,No,No,Yes
DropdownItemContainer,Border,Default,Default,dropdownItemContainerBorder,NightSky/800,100%,Gray/200,100%,No,No,Yes
DropdownItemDescription,Text,Default,Default,dropdownItemDescriptionText,Gray/300,100%,Gray/700,100%,No,No,Yes
DropdownItem,Text,Default,Default,dropdownItemText,Gray/100,100%,Gray/900,100%,No,No,Yes
DropdownItem,Checkmark,Default,Default,DropdownItemCheckmark,Gray/200,100%,Gray/800,100%,No,No,Yes
DropdownItem,Background,Default,Focus,dropdownItemBackgroundFocus,NightSky/900,100%,Gray/50,100%,No,No,Yes
DropdownItem,Background,Default,Selected,dropdownItemBackgroundSelected,NightSky/900,100%,Gray/50,100%,No,No,Yes
DropdownItem,Background,Default,Hover,dropdownItemBackgroundHover,NightSky/900,100%,Gray/50,100%,No,No,Yes
SelectLabel,Text,Default,Default,selectLabelText,Gray/400,100%,Gray/600,100%,No,No,Yes
SelectHint,Text,Default,Default,selectHintText,Gray/500,100%,Gray/500,100%,No,No,Yes
Select,Background,Default,Default,selectBackground,NightSky/950,100%,White,100%,No,No,Yes
Select,Border,Default,Default,selectBorder,NightSky/700,100%,Gray/300,100%,No,No,Yes
Select,Text,Default,Default,selectText,Gray/400,100%,Gray/600,100%,No,No,Yes
Select,Text,Default,Placeholder,selectTextPlaceholder,Gray/500,100%,Gray/400,100%,No,No,Yes
Input,Background,Default,Default,inputBackground,NightSky/950,100%,White,100%,No,No,Yes
Input,Border,Default,Error,inputBorderError,Red/400,100%,Red/500,100%,No,No,Yes
Input,Icon,Default,Error,inputIconError,NightSky/700,100%,Gray/300,100%,No,No,Yes
Input,Text,Default,Default,inputText,Gray/400,100%,Gray/600,100%,No,No,Yes
Input,Background,Default,Disabled,inputBackground,NightSky/900,100%,Gray/50,100%,No,No,Yes
Input,Text,Default,Placeholder,inputTextPlaceholder,Gray/500,100%,Gray/400,100%,No,No,Yes
Input,Shadow,Default,Focus,inputShadowFocus,Primary/900,100%,Primary/100,100%,No,No,Yes
InputHint,Text,Default,Default,inputHintText,Gray/400,100%,Gray/600,100%,No,No,Yes
InputHint,Text,Default,Error,inputHintTextError,Red/400,100%,Red/500,100%,No,No,Yes
InputLabel,Text,Default,Default,inputLabelText,Gray/300,100%,Gray/700,100%,No,No,Yes
InputLabel,Icon,Default,Default,inputLabelIcon,Gray/600,100%,Gray/400,100%,No,No,Yes
RadioOrCheckbox,Background,Default,Default,radioOrCheckboxBackground,NightSky/950,100%,White,100%,No,No,Yes
RadioOrCheckbox,Border,Default,Default,radioOrCheckboxBorder,Primary/400,100%,Primary/600,100%,No,No,Yes
RadioOrCheckbox,Background,Default,Hover,radioOrCheckboxBackgroundHover,Primary/900,100%,Primary/100,100%,No,No,Yes
RadioOrCheckbox,Background,Default,Checked,radioOrCheckboxBackgroundChecked,Primary/400,100%,Primary/600,100%,No,No,Yes
RadioOrCheckbox,Icon,Default,Default,radioOrCheckboxIcon,NightSky/950,100%,White,100%,No,No,Yes
RadioOrCheckbox,Background,Default,Disabled,radioOrCheckboxBackgroundDisabled,NightSky/900,100%,Gray/100,100%,No,No,Yes
RadioOrCheckbox,Border,Default,Disabled,radioOrCheckboxBorderDisabled,Primary/700,100%,Primary/300,100%,No,No,Yes
RadioOrCheckbox,Background,Default,DisabledAndChecked,radioOrCheckboxBackgroundDisabledAndChecked,Primary/400,30%,Primary/600,30%,No,No,Yes
RadioOrCheckboxLabel,Text,Default,Default,radioOrCheckboxLabelText,Gray/300,100%,Gray/700,100%,No,No,Yes
RadioOrCheckboxLabel,Text,Default,Checked,radioOrCheckboxLabelTextChecked,Primary/300,100%,Primary/700,100%,No,No,Yes
RadioOrCheckboxCard,Background,Default,Default,radioOrCheckboxCardBackground,NightSky/950,100%,White,100%,No,No,Yes
RadioOrCheckboxCard,Background,Default,Checked,radioOrCheckboxCardBackgroundChecked,Primary/975,100%,Primary/50,100%,No,No,Yes
RadioOrCheckboxCard,Background,Default,Disabled,radioOrCheckboxCardBackgroundDisabled,NightSky/975,100%,Gray/50,100%,No,No,Yes
